File,Widget,Line,Severity,Rebuilds/Min,Build Time (ms),Reason,Dependencies,Pattern Preview
"lib/ui/player/components/gesture_player.dart","Unknown",59,"HIGH",500,18.0,"Obx contains expensive operations: Animations","","child: Obx("
"lib/ui/player/components/mini_player_content.dart","MiniPlayerContent",29,"HIGH",500,18.0,"Obx contains expensive operations: Animations","HomeScreenController","return Obx(() {"
"lib/ui/player/components/mini_player.dart","MiniPlayer",30,"HIGH",500,13.0,"Large widget (100 lines) wrapped in Obx - rebuilds entirely","","return Obx(() {"
"lib/ui/player/player.dart","Player",29,"HIGH",500,11.0,"Obx nested inside build method without id/tag","","body: Obx("
"lib/ui/player/components/player_control.dart","Unknown",42,"HIGH",500,11.0,"Obx nested inside build method without id/tag","","child: Obx(() {"
"lib/ui/screens/Playlist/playlist_screen_controller.dart","Unknown",465,"HIGH",200,15.0,"Obx contains expensive operations: Animations","","content: Obx(() => Column("
"lib/ui/screens/Home/home_screen.dart","Unknown",88,"HIGH",200,15.0,"Obx contains expensive operations: Animations","","return Obx(() => Row("
"lib/ui/screens/Settings/settings_screen.dart","Unknown",228,"HIGH",200,15.0,"Obx contains expensive operations: Animations","","trailing: Obx("
"lib/ui/screens/Library/library_combined.dart","CombinedLibrary",23,"HIGH",200,15.0,"Obx contains expensive operations: Animations","","Obx(() => (settingscrnController.isLinkedWithPiped.isTrue)"
"lib/ui/screens/Library/library_controller.dart","Unknown",611,"HIGH",200,15.0,"Obx contains expensive operations: Animations","","content: Obx(() => Column("
"lib/ui/screens/Search/search_result_screen.dart","Unknown",80,"HIGH",200,15.0,"Obx contains expensive operations: Animations","SettingsScreenController","child: GetX<SearchResultScreenController>("
"lib/ui/screens/Artists/artist_screen.dart","Unknown",113,"HIGH",200,15.0,"Obx contains expensive operations: Animations","SettingsScreenController","child: Obx("
"lib/ui/widgets/link_piped.dart","LinkPiped",19,"HIGH",200,15.0,"Obx contains expensive operations: Animations","","child: Obx(() => Container("
"lib/ui/screens/Settings/settings_screen.dart","Unknown",343,"HIGH",200,15.0,"Obx contains expensive operations: Async operations","","Obx(() => (settingsController.isLinkedWithPiped.isTrue)"
"lib/ui/screens/Settings/settings_screen.dart","Unknown",239,"HIGH",200,15.0,"Obx contains expensive operations: Animations","","trailing: Obx("
"lib/ui/widgets/modification_list.dart","Unknown",79,"HIGH",200,15.0,"Obx contains expensive operations: Image operations","","Obx("
"lib/ui/screens/Settings/settings_screen.dart","Unknown",484,"HIGH",200,15.0,"Obx contains expensive operations: Async operations","","trailing: Obx("
"lib/ui/screens/Album/album_screen.dart","Unknown",319,"HIGH",250,10.0,"Large widget (67 lines) wrapped in Obx - rebuilds entirely","","GetX<Downloader>("
"lib/ui/player/components/standard_player.dart","Unknown",196,"MEDIUM",500,5.0,"Standard Obx usage","","Obx("
"lib/ui/widgets/up_next_queue.dart","UpNextQueue",24,"HIGH",250,10.0,"Large widget (100 lines) wrapped in Obx - rebuilds entirely","","child: Obx(() {"
"lib/ui/widgets/combined_bottom_container.dart","CombinedBottomContainer",22,"HIGH",250,10.0,"Large widget (68 lines) wrapped in Obx - rebuilds entirely","","return Obx(() {"
"lib/ui/screens/Album/album_screen.dart","Unknown",58,"HIGH",250,10.0,"Large widget (55 lines) wrapped in Obx - rebuilds entirely","","child: Obx(() {"
"lib/ui/player/player.dart","Unknown",107,"MEDIUM",500,5.0,"Standard Obx usage","","Obx("
"lib/ui/player/player.dart","Unknown",126,"MEDIUM",500,5.0,"Standard Obx usage","","child: Obx("
"lib/ui/screens/Playlist/playlist_screen.dart","Unknown",393,"HIGH",250,10.0,"Large widget (67 lines) wrapped in Obx - rebuilds entirely","","GetX<Downloader>("
"lib/ui/player/components/player_control.dart","Unknown",83,"MEDIUM",500,5.0,"Standard Obx usage","","icon: Obx(() => Icon("
"lib/ui/widgets/song_download_btn.dart","SongDownloadButton",25,"HIGH",250,10.0,"Large widget (62 lines) wrapped in Obx - rebuilds entirely","","return Obx(() {"
"lib/ui/player/components/player_control.dart","Unknown",120,"MEDIUM",500,5.0,"Standard Obx usage","","icon: Obx(() => Icon("
"lib/ui/player/components/player_control.dart","Unknown",133,"MEDIUM",500,5.0,"Standard Obx usage","","Obx(() {"
"lib/ui/player/components/player_control.dart","Unknown",167,"MEDIUM",500,5.0,"Standard Obx usage","","return Obx(() {"
